nombre,stock,categoria,ubicacion,codigo,descripcion
"Refrigerador de aceite",1,"Refrigerador","6415","AL172765",""
"Casquillo",2,"Componente","6615","Z35271",""
"Casquillo",2,"Componente","6415","Z35271",""
"Malla",1,"Componente","6615","DQ52819",""
"Malla",1,"Componente","6415","AL163684",""
"Malla",2,"Componente","6615","DQ52819",""
"Malla",2,"Componente","6415","DQ52819",""
"Tornillo",2,"Tornillo","6415, 6615","19M7864","M8 X 12, (SUB FOR 19M7297)"
"Soporte",1,"Soporte","6415","AL168815",""
"Soporte",1,"Soporte","6615","AL162696",""
"Refrigerador de aceite",1,"Refrigerador","6415","AL168814",""
"Radiador",1,"Radiador","6615","AL164837",""
"Malla",2,"Componente","6415, 6615","DQ52819",""
"Malla",1,"Componente","6615","DQ52819",""
"Malla",1,"Componente","6415","AL163684",""
"Soporte",1,"Soporte","6615","AL162696",""
"Apoyo",1,"Apoyo","6415","AL168815",""
"Casquillo",2,"Componente","6415, 6615","Z35271",""
"Tornillo",4,"Tornillo","6415, 6615","19M7866","M8 X 20, (SUB FOR 19M7139)"
"Tornillo",1,"Tornillo","6415, 6615","19M7865","M8 X 16, (SUB FOR 19M7162)"
"Tuerca",4,"Tuerca","6415, 6615","14M7029","M8"
"Tornillo",2,"Tornillo","6415, 6615","19M7864","M8 X 12, (SUB FOR 19M7297)"
"Soporte",1,"Soporte","6415","L168286",""
"Banda de guarnición",1,"Banda","6415","L159013",""
"Banda de guarnición",1,"Banda","6415","L165281",""
"Soporte",1,"Soporte","6615","L158239",""
"Banda de guarnición",1,"Banda","6615","L158240",""
"Tornillo",1,"Tornillo","6615","19M7077","M6 X 20"
"Arandela",1,"Arandela","6415, 6615","24M7088","6.600 X 12 X 1.600 mm"
"Tuerca",1,"Tuerca","6415, 6615","14M7272","M6"
"Racor adaptador",1,"Componente","6415, 6615","38H5005",""
"Anillo tórico",2,"Anillo","6415, 6615","51M7047","23.600 X 2.900 mm"
"Anillo tórico",2,"Anillo","6415, 6615","T77858",""
"Manguera hidráulica",1,"Manguera","6415","AL164935",""
"Manguera hidráulica",1,"Manguera","6615","AL164933",""
"Manguera hidráulica",1,"Manguera","6415","AL164934","(SIN CABINA)"
"Manguera",1,"Manguera","6415","AL168817","(CON CABINA)"
"Manguera hidráulica",1,"Manguera","6615","AL164932",""
"Soporte de manguera",1,"Manguera","6415","L169208",""
"Soporte de manguera",1,"Manguera","6615","AL171782",""
